LEVEL0	LEVEL1	LEVEL2	LEVEL3	LEVEL4	LEVEL5	LELVEL6	LEAF_annot
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000001	PGPT0000001-nifA|anfA|vnfA-K02584
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000005	PGPT0000005-nifB-K02585
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000010	PGPT0000010-nifD|anfD-K02586
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000015	PGPT0000015-nifE-K02587
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000020	PGPT0000020-nifF|fldA|isiB-K03839
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000025	PGPT0000025-nifH|anfH-K02588
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000030	PGPT0000030-nifHD1|nifI1-K02589
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000035	PGPT0000035-nifHD2|nifI2-K02590
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000040	PGPT0000040-nifJ|por-K03737
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000045	PGPT0000045-nifK|anfK-K02591
PGPT	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000050	PGPT0000050-nifM|ppiC-K03769
