gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2812910640	334	94.31	1	334	1	334	0.0e+00	709	KO:K03497	chromosome partitioning protein, ParB family		Yes
2812910645	280	88.89	2	280	15	293	0.0e+00	579	KO:K07454	putative restriction endonuclease		Yes
2812910668	102	97.06	1	102	1	102	7.7e-67	223	KO:K19163	toxin CcdB		Yes
2812910669	79	97.47	1	79	1	79	6.6e-49	170	KO:K19164	antitoxin CcdA		Yes
2812910681	690	96.03	36	690	1	655	0.0e+00	1450	KO:K03722	ATP-dependent DNA helicase DinG [EC:3.6.4.12]	EC:3.6.4.12	Yes
2812910702	340	96.18	1	340	1	340	0.0e+00	736	KO:K18640	plasmid segregation protein ParM		Yes
2812910706	176	97.73	1	176	1	176	1.9e-125	397	KO:K02402	flagellar transcriptional activator FlhC		Yes
2812910708	885	95.93	1	885	1	885	0.0e+00	2000	KO:K12058	conjugal transfer mating pair stabilization protein TraN		Yes
2812910710	1172	94.54	1	1172	1	1147	0.0e+00	2460	KO:K12056	conjugal transfer mating pair stabilization protein TraG		Yes
2812910711	480	98.12	1	480	1	480	0.0e+00	1060	KO:K12072	conjugative transfer pilus assembly protein TraH		Yes
2812910712	366	97.27	1	366	1	366	0.0e+00	825	KO:K12057	conjugal transfer pilus assembly protein TraF		Yes
2812910715	276	64.47	3	275	1	273	1.2e-128	416	KO:K07497	putative transposase		Yes
2812910717	87	100	1	87	1	87	4.6e-58	196	KO:K07497	putative transposase		Yes
2812910726	359	99.72	1	359	1	359	0.0e+00	825	KO:K09882	cobaltochelatase CobS [EC:6.6.1.2]	EC:6.6.1.2	Yes
2812910729	518	94.4	1	518	1	518	0.0e+00	1110	KO:K07455	recombination protein RecT		Yes
2812910734	355	98.87	1	355	1	355	0.0e+00	844	KO:K12060	conjugal transfer pilus assembly protein TraU		Yes
2812910735	437	97.82	71	437	1	367	0.0e+00	825	KO:K12061	conjugal transfer pilus assembly protein TraW		Yes
2812910736	174	99.43	1	174	1	174	9.3e-129	406	KO:K12062	conjugal transfer pilin signal peptidase TrbI		Yes
2812910738	828	99.28	1	828	1	828	0.0e+00	1870	KO:K12063	conjugal transfer ATP-binding protein TraC		Yes
2812910739	254	100	1	254	1	254	0.0e+00	570	KO:K03981	thiol:disulfide interchange protein DsbC [EC:5.3.4.1]	EC:5.3.4.1	Yes
2812910740	532	84.62	1	532	1	533	0.0e+00	1010	KO:K12342	adhesin YadB/C		Yes
2812910741	188	98.94	1	188	1	188	0.0e+00	428	KO:K12064	conjugal transfer pilus assembly protein TraV		Yes
2812910742	465	98.28	1	465	1	465	0.0e+00	1020	KO:K12065	conjugal transfer pilus assembly protein TraB		Yes
2812910743	372	93.33	28	372	1	345	0.0e+00	732	KO:K12066	conjugal transfer pilus assembly protein TraK		Yes
2812910744	208	97.12	1	208	1	208	0.0e+00	457	KO:K12067	conjugal transfer pilus assembly protein TraE		Yes
2812910745	94	98.94	1	94	1	94	2.8e-67	223	KO:K12068	conjugal transfer pilus assembly protein TraL		Yes
2812910750	658	95.27	1	656	1	656	0.0e+00	1420	KO:K12071	conjugal transfer pilus assembly protein TraD		Yes
2812910751	900	93.22	1	900	1	900	0.0e+00	1960	KO:K12070	conjugal transfer pilus assembly protein TraI		Yes
2812910756	111	97.3	1	111	1	111	1.9e-71	237	KO:K12069	conjugal transfer pilus assembly protein TraA		Yes
2812910760	364	88.55	6	363	1	358	0.0e+00	737	KO:K07448	restriction system protein		Yes
2812910764	242	90.91	1	242	1	242	0.0e+00	523	KO:K03100	signal peptidase I [EC:3.4.21.89]	EC:3.4.21.89	Yes
2812910777	92	96.74	1	92	1	92	1.5e-59	201	KO:K07483	transposase		Yes
2812910778	270	98.52	1	270	1	270	0.0e+00	633	KO:K07497	putative transposase		Yes
2812910783	320	98.44	1	320	1	320	0.0e+00	700	KO:K18640	plasmid segregation protein ParM		Yes
2812910785	134	92.54	1	134	1	134	5.6e-86	280	KO:K13654	GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator		Yes
2812910786	120	99.08	12	120	1	109	2.3e-77	254	KO:K19778	acid stress chaperone HdeB		Yes
2812910787	267	99.25	1	267	1	267	0.0e+00	602	KO:K02440	glycerol uptake facilitator protein		Yes
2812910789	142	96.48	1	142	1	142	1.1e-96	312	KO:K06122	glycerol dehydratase small subunit [EC:4.2.1.30]	EC:4.2.1.30	Yes
2812910790	194	97.94	1	194	1	194	0.0e+00	426	KO:K06121	glycerol dehydratase medium subunit [EC:4.2.1.30]	EC:4.2.1.30	Yes
